fold,representation,model,n_train,n_test,n_defaults,n_features,best_params,AUC,PR_AUC,Brier,GINI
1,structured,Logistic,6694,1042,157,89,"{""C"": 0.01}",0.6588,0.2275,0.2425,0.3176
1,structured,XGBoost,6694,1042,157,89,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6631,0.2317,0.2122,0.3261
1,structured,RandomForest,6694,1042,157,89,"{""min_samples_leaf"": 20}",0.6364,0.2149,0.1999,0.2727
1,tfidf_full,Logistic,6694,1042,157,6317,"{""C"": 0.01}",0.6573,0.2279,0.243,0.3146
1,tfidf_full,XGBoost,6694,1042,157,6317,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6453,0.2441,0.2145,0.2906
1,tfidf_full,RandomForest,6694,1042,157,6317,"{""min_samples_leaf"": 50}",0.6277,0.2174,0.2337,0.2553
1,finbert_pca50,Logistic,6694,1042,157,140,"{""C"": 0.01}",0.6552,0.2251,0.2425,0.3105
1,finbert_pca50,XGBoost,6694,1042,157,140,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6367,0.2124,0.2053,0.2733
1,finbert_pca50,RandomForest,6694,1042,157,140,"{""min_samples_leaf"": 50}",0.628,0.2279,0.205,0.256
2,structured,Logistic,9893,1222,136,91,"{""C"": 0.01}",0.6804,0.2105,0.2142,0.3607
2,structured,XGBoost,9893,1222,136,91,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6811,0.223,0.1871,0.3623
2,structured,RandomForest,9893,1222,136,91,"{""min_samples_leaf"": 20}",0.6693,0.22,0.1724,0.3387
2,tfidf_full,Logistic,9893,1222,136,8716,"{""C"": 0.1}",0.6901,0.2198,0.2021,0.3801
2,tfidf_full,XGBoost,9893,1222,136,8716,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6922,0.2237,0.1844,0.3844
2,tfidf_full,RandomForest,9893,1222,136,8716,"{""min_samples_leaf"": 50}",0.678,0.2007,0.2232,0.3561
2,finbert_pca50,Logistic,9893,1222,136,142,"{""C"": 1}",0.6778,0.2102,0.2068,0.3556
2,finbert_pca50,XGBoost,9893,1222,136,142,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6804,0.2108,0.1787,0.3609
2,finbert_pca50,RandomForest,9893,1222,136,142,"{""min_samples_leaf"": 50}",0.6669,0.1846,0.1814,0.3337
3,structured,Logistic,13674,1369,184,92,"{""C"": 0.01}",0.708,0.2559,0.2289,0.4161
3,structured,XGBoost,13674,1369,184,92,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.694,0.2601,0.2107,0.3879
3,structured,RandomForest,13674,1369,184,92,"{""min_samples_leaf"": 10}",0.7049,0.267,0.1606,0.4098
3,tfidf_full,Logistic,13674,1369,184,11319,"{""C"": 0.1}",0.71,0.2646,0.221,0.4201
3,tfidf_full,XGBoost,13674,1369,184,11319,"{""max_depth"": 6, ""learning_rate"": 0.05}",0.6925,0.2539,0.1826,0.385
3,tfidf_full,RandomForest,13674,1369,184,11319,"{""min_samples_leaf"": 20}",0.6957,0.2578,0.2137,0.3913
3,finbert_pca50,Logistic,13674,1369,184,143,"{""C"": 0.01}",0.7056,0.258,0.2276,0.4113
3,finbert_pca50,XGBoost,13674,1369,184,143,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.687,0.245,0.2069,0.374
3,finbert_pca50,RandomForest,13674,1369,184,143,"{""min_samples_leaf"": 10}",0.6946,0.2314,0.1438,0.3892
4,structured,Logistic,18165,1762,255,92,"{""C"": 0.01}",0.7003,0.282,0.2242,0.4007
4,structured,XGBoost,18165,1762,255,92,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6871,0.2521,0.2147,0.3741
4,structured,RandomForest,18165,1762,255,92,"{""min_samples_leaf"": 50}",0.6901,0.2457,0.2064,0.3802
4,tfidf_full,Logistic,18165,1762,255,13765,"{""C"": 0.01}",0.7015,0.2838,0.2238,0.4031
