fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,AUC,PR_AUC,Brier,GINI,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
1,2010-08,2010-09,6926,1087,175,Logistic,Structured,0.862625313283208,0.5519387700365783,0.168830007314682,0.725250626566416,0.5,,,,0
1,2010-08,2010-09,6926,1087,175,Logistic,Structured,0.862625313283208,0.5519387700365783,0.168830007314682,0.725250626566416,0.6,,,,0
1,2010-08,2010-09,6926,1087,175,Logistic,Structured,0.862625313283208,0.5519387700365783,0.168830007314682,0.725250626566416,0.7,,,,0
1,2010-08,2010-09,6926,1087,175,Logistic,Structured+Text,0.8569298245614035,0.546078692131637,0.1666962653385833,0.7138596491228071,0.5,,,,0
1,2010-08,2010-09,6926,1087,175,Logistic,Structured+Text,0.8569298245614035,0.546078692131637,0.1666962653385833,0.7138596491228071,0.6,,,,0
1,2010-08,2010-09,6926,1087,175,Logistic,Structured+Text,0.8569298245614035,0.546078692131637,0.1666962653385833,0.7138596491228071,0.7,,,,0
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured,0.8820238095238095,0.5533952936102906,0.13547828793525696,0.7640476190476191,0.5,,,,0
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured,0.8820238095238095,0.5533952936102906,0.13547828793525696,0.7640476190476191,0.6,,,,0
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured,0.8820238095238095,0.5533952936102906,0.13547828793525696,0.7640476190476191,0.7,,,,0
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured+Text,0.8635338345864663,0.5715245029765706,0.1416311264038086,0.7270676691729325,0.5,,,,0
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured+Text,0.8635338345864663,0.5715245029765706,0.1416311264038086,0.7270676691729325,0.6,,,,0
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured+Text,0.8635338345864663,0.5715245029765706,0.1416311264038086,0.7270676691729325,0.7,,,,0
2,2010-11,2010-12,10267,1269,143,Logistic,Structured,0.8465823696729559,0.3840791807657851,0.14955218136310577,0.6931647393459117,0.5,,,,0
2,2010-11,2010-12,10267,1269,143,Logistic,Structured,0.8465823696729559,0.3840791807657851,0.14955218136310577,0.6931647393459117,0.6,,,,0
2,2010-11,2010-12,10267,1269,143,Logistic,Structured,0.8465823696729559,0.3840791807657851,0.14955218136310577,0.6931647393459117,0.7,,,,0
2,2010-11,2010-12,10267,1269,143,Logistic,Structured+Text,0.8512091815821835,0.38942031610572003,0.14932203704591057,0.702418363164367,0.5,,,,0
2,2010-11,2010-12,10267,1269,143,Logistic,Structured+Text,0.8512091815821835,0.38942031610572003,0.14932203704591057,0.702418363164367,0.6,,,,0
2,2010-11,2010-12,10267,1269,143,Logistic,Structured+Text,0.8512091815821835,0.38942031610572003,0.14932203704591057,0.702418363164367,0.7,,,,0
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured,0.8520848600777552,0.37899276459054143,0.12517721951007843,0.7041697201555104,0.5,,,,0
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured,0.8520848600777552,0.37899276459054143,0.12517721951007843,0.7041697201555104,0.6,,,,0
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured,0.8520848600777552,0.37899276459054143,0.12517721951007843,0.7041697201555104,0.7,,,,0
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured+Text,0.8647045671912457,0.41168205324833373,0.1272028684616089,0.7294091343824913,0.5,,,,0
