fold,Model,AUC_Structured,AUC_Structured+Text,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,0.8626,0.8569,-0.0057,1.673,0.0944,-0.001,0.0124
1,XGBoost,0.882,0.8635,-0.0185,2.74,0.0061,0.0053,0.0317
2,Logistic,0.8466,0.8512,0.0046,-1.564,0.1178,-0.0104,0.0012
2,XGBoost,0.8521,0.8647,0.0126,-2.204,0.0275,-0.0238,-0.0014
3,Logistic,0.8715,0.8679,-0.0036,1.444,0.1486,-0.0013,0.0085
3,XGBoost,0.8755,0.8739,-0.0016,0.333,0.7392,-0.0076,0.0107
4,Logistic,0.8572,0.8565,-0.0006,0.271,0.7867,-0.0039,0.0051
4,XGBoost,0.869,0.8665,-0.0025,0.772,0.44,-0.0038,0.0088
5,Logistic,0.8879,0.8858,-0.002,1.277,0.2016,-0.0011,0.0052
5,XGBoost,0.8951,0.8968,0.0016,-0.647,0.5176,-0.0066,0.0033
6,Logistic,0.8749,0.8775,0.0026,-1.998,0.0457,-0.0052,-0.0
6,XGBoost,0.8809,0.8826,0.0018,-0.799,0.4246,-0.0061,0.0026
7,Logistic,0.8981,0.8968,-0.0014,1.208,0.227,-0.0008,0.0035
7,XGBoost,0.9048,0.9032,-0.0016,0.988,0.3233,-0.0016,0.0047
8,Logistic,0.8768,0.8761,-0.0006,0.706,0.4805,-0.0011,0.0023
8,XGBoost,0.8871,0.8871,0.0001,-0.034,0.9727,-0.0032,0.0031
9,Logistic,0.887,0.8857,-0.0013,1.722,0.0851,-0.0002,0.0027
9,XGBoost,0.8989,0.8995,0.0006,-0.47,0.6386,-0.0031,0.0019
10,Logistic,0.8849,0.8848,-0.0001,0.186,0.8525,-0.0012,0.0014
10,XGBoost,0.8948,0.8971,0.0024,-2.496,0.0126,-0.0042,-0.0005
11,Logistic,0.903,0.9019,-0.001,1.997,0.0458,0.0,0.0021
11,XGBoost,0.9125,0.912,-0.0006,0.937,0.349,-0.0006,0.0018
12,Logistic,0.9017,0.9016,-0.0,0.079,0.937,-0.0008,0.0009
12,XGBoost,0.9071,0.9076,0.0004,-1.046,0.2955,-0.0013,0.0004
13,Logistic,0.9118,0.9112,-0.0005,1.392,0.1639,-0.0002,0.0013
13,XGBoost,0.9177,0.9179,0.0002,-0.736,0.4619,-0.0009,0.0004
14,Logistic,0.9122,0.9113,-0.0009,2.715,0.0066,0.0002,0.0015
14,XGBoost,0.9196,0.9194,-0.0002,0.718,0.4728,-0.0004,0.0008
