Model,Variant,threshold,n_candidate_groups,n_pass_n_threshold,n_pass_pos_threshold,n_included
Logistic,Structured,0.5,598.6,2.5,11.0,2.4
Logistic,Structured,0.6,598.6,2.5,11.0,2.4
Logistic,Structured,0.7,598.6,2.5,11.0,2.4
Logistic,Structured+Text,0.5,598.6,2.5,11.0,2.4
Logistic,Structured+Text,0.6,598.6,2.5,11.0,2.4
Logistic,Structured+Text,0.7,598.6,2.5,11.0,2.4
XGBoost,Structured,0.5,598.6,2.5,11.0,2.4
XGBoost,Structured,0.6,598.6,2.5,11.0,2.4
XGBoost,Structured,0.7,598.6,2.5,11.0,2.4
XGBoost,Structured+Text,0.5,598.6,2.5,11.0,2.4
XGBoost,Structured+Text,0.6,598.6,2.5,11.0,2.4
XGBoost,Structured+Text,0.7,598.6,2.5,11.0,2.4
