fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6926,1087,175,Logistic,Structured,0.8626,0.8382,0.8881,0.552,0.4755,0.6309,0.1688,0.1554,0.1823,0.7253
1,2010-08,2010-09,6926,1087,175,Logistic,Structured+Text,0.8569,0.8322,0.8829,0.5461,0.4739,0.6232,0.1667,0.1541,0.1796,0.7138
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured,0.882,0.8598,0.9038,0.5534,0.4857,0.6354,0.1355,0.124,0.1467,0.764
1,2010-08,2010-09,6926,1087,175,XGBoost,Structured+Text,0.8635,0.8361,0.8894,0.5715,0.4996,0.6398,0.1416,0.1293,0.1537,0.7271
2,2010-11,2010-12,10267,1269,143,Logistic,Structured,0.8466,0.8147,0.8777,0.3841,0.3143,0.4637,0.1496,0.1371,0.1634,0.6931
2,2010-11,2010-12,10267,1269,143,Logistic,Structured+Text,0.8512,0.8212,0.8803,0.3894,0.3199,0.4696,0.1493,0.1374,0.1632,0.7024
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured,0.8521,0.8187,0.8819,0.379,0.3074,0.4617,0.1252,0.1136,0.1378,0.7042
2,2010-11,2010-12,10267,1269,143,XGBoost,Structured+Text,0.8647,0.8361,0.8915,0.4117,0.3399,0.4972,0.1272,0.1169,0.1388,0.7294
3,2011-02,2011-03,14214,1448,210,Logistic,Structured,0.8715,0.8472,0.8946,0.5283,0.4582,0.6046,0.1591,0.1475,0.1718,0.7431
3,2011-02,2011-03,14214,1448,210,Logistic,Structured+Text,0.8679,0.8429,0.8925,0.5375,0.4653,0.6068,0.1596,0.1474,0.172,0.7359
3,2011-02,2011-03,14214,1448,210,XGBoost,Structured,0.8755,0.8513,0.8969,0.5262,0.4603,0.6046,0.1406,0.13,0.1535,0.7509
