zip3,Model,Variant,n_folds,n_total,n_default,AUC_mean,FNR_mean,FPR_mean,Brier_mean,default_rate
100,Logistic,Structured,3,334,42,0.896,0.1724,0.1687,0.1244,0.1257
100,Logistic,Structured+Text,3,334,42,0.9054,0.1724,0.1618,0.1235,0.1257
100,XGBoost,Structured,3,334,42,0.9112,0.1026,0.2114,0.1233,0.1257
100,XGBoost,Structured+Text,3,334,42,0.9172,0.1026,0.2112,0.1226,0.1257
104,Logistic,Structured,2,199,44,0.881,0.116,0.2458,0.16,0.2211
104,Logistic,Structured+Text,2,199,44,0.8764,0.134,0.2646,0.1639,0.2211
104,XGBoost,Structured,2,199,44,0.8756,0.0357,0.2654,0.1514,0.2211
104,XGBoost,Structured+Text,2,199,44,0.8792,0.067,0.2716,0.1523,0.2211
112,Logistic,Structured,4,517,108,0.8877,0.1567,0.2242,0.1485,0.2089
112,Logistic,Structured+Text,4,517,108,0.8878,0.1503,0.2348,0.15,0.2089
112,XGBoost,Structured,4,517,108,0.8981,0.1285,0.2798,0.147,0.2089
112,XGBoost,Structured+Text,4,517,108,0.8974,0.1135,0.2816,0.1482,0.2089
117,Logistic,Structured,2,199,40,0.9006,0.1023,0.1809,0.1327,0.201
117,Logistic,Structured+Text,2,199,40,0.9042,0.0729,0.1809,0.1322,0.201
117,XGBoost,Structured,2,199,40,0.9054,0.0512,0.2249,0.1292,0.201
117,XGBoost,Structured+Text,2,199,40,0.9033,0.0512,0.2249,0.1277,0.201
300,Logistic,Structured,2,221,29,0.9068,0.069,0.1876,0.1391,0.1312
300,Logistic,Structured+Text,2,221,29,0.9064,0.069,0.1876,0.1414,0.1312
300,XGBoost,Structured,2,221,29,0.918,0.0334,0.2134,0.1332,0.1312
300,XGBoost,Structured+Text,2,221,29,0.9204,0.0334,0.2245,0.1352,0.1312
330,Logistic,Structured,3,290,53,0.8814,0.2147,0.2306,0.1635,0.1828
330,Logistic,Structured+Text,3,290,53,0.8888,0.1909,0.2306,0.1633,0.1828
330,XGBoost,Structured,3,290,53,0.8886,0.0695,0.2592,0.1554,0.1828
330,XGBoost,Structured+Text,3,290,53,0.8866,0.0847,0.2743,0.1564,0.1828
331,Logistic,Structured,3,309,47,0.8748,0.0886,0.2638,0.1762,0.1521
331,Logistic,Structured+Text,3,309,47,0.8747,0.0886,0.2662,0.1783,0.1521
331,XGBoost,Structured,3,309,47,0.8894,0.0886,0.3275,0.1806,0.1521
331,XGBoost,Structured+Text,3,309,47,0.8915,0.0886,0.3312,0.179,0.1521
334,Logistic,Structured,1,82,19,0.9265,0.1053,0.1587,0.114,0.2317
334,Logistic,Structured+Text,1,82,19,0.9231,0.1053,0.1587,0.1161,0.2317
334,XGBoost,Structured,1,82,19,0.9265,0.1053,0.1905,0.1131,0.2317
334,XGBoost,Structured+Text,1,82,19,0.9273,0.1053,0.1905,0.1132,0.2317
606,Logistic,Structured,4,446,56,0.9294,0.1265,0.141,0.1092,0.1256
606,Logistic,Structured+Text,4,446,56,0.931,0.1525,0.1446,0.1091,0.1256
606,XGBoost,Structured,4,446,56,0.9382,0.0364,0.1878,0.1108,0.1256
606,XGBoost,Structured+Text,4,446,56,0.9393,0.0156,0.1948,0.1135,0.1256
70,Logistic,Structured,2,261,50,0.8604,0.1424,0.213,0.1528,0.1916
70,Logistic,Structured+Text,2,261,50,0.8586,0.158,0.2276,0.1559,0.1916
70,XGBoost,Structured,2,261,50,0.8644,0.1267,0.2512,0.1509,0.1916
70,XGBoost,Structured+Text,2,261,50,0.8616,0.1267,0.2558,0.1512,0.1916
750,Logistic,Structured,5,622,90,0.9095,0.1887,0.1432,0.1126,0.1447
750,Logistic,Structured+Text,5,622,90,0.905,0.1887,0.1565,0.1147,0.1447
750,XGBoost,Structured,5,622,90,0.9227,0.1043,0.1886,0.1081,0.1447
750,XGBoost,Structured+Text,5,622,90,0.9242,0.0669,0.1907,0.1102,0.1447
770,Logistic,Structured,3,291,38,0.9256,0.147,0.1586,0.114,0.1306
770,Logistic,Structured+Text,3,291,38,0.9264,0.147,0.1623,0.1156,0.1306
770,XGBoost,Structured,3,291,38,0.9281,0.0256,0.1936,0.1131,0.1306
770,XGBoost,Structured+Text,3,291,38,0.929,0.0513,0.2056,0.1169,0.1306
773,Logistic,Structured,1,82,13,0.971,0.0769,0.1449,0.1009,0.1585
773,Logistic,Structured+Text,1,82,13,0.9721,0.0769,0.1449,0.1006,0.1585
773,XGBoost,Structured,1,82,13,0.9654,0.0769,0.2029,0.1091,0.1585
773,XGBoost,Structured+Text,1,82,13,0.9621,0.0769,0.2029,0.1121,0.1585
80,Logistic,Structured,1,90,11,0.8677,0.1818,0.2152,0.1762,0.1222
80,Logistic,Structured+Text,1,90,11,0.8723,0.1818,0.2152,0.1742,0.1222
80,XGBoost,Structured,1,90,11,0.893,0.0,0.2532,0.1578,0.1222
80,XGBoost,Structured+Text,1,90,11,0.8953,0.0,0.2658,0.1592,0.1222
891,Logistic,Structured,3,292,66,0.9139,0.0769,0.1804,0.1317,0.226
891,Logistic,Structured+Text,3,292,66,0.9153,0.0594,0.1814,0.1302,0.226
891,XGBoost,Structured,3,292,66,0.9193,0.0285,0.208,0.1215,0.226
891,XGBoost,Structured+Text,3,292,66,0.916,0.0285,0.2033,0.1217,0.226
900,Logistic,Structured,4,440,68,0.9243,0.1307,0.1545,0.1223,0.1545
900,Logistic,Structured+Text,4,440,68,0.9215,0.1168,0.1594,0.1245,0.1545
900,XGBoost,Structured,4,440,68,0.9278,0.0556,0.203,0.1196,0.1545
900,XGBoost,Structured+Text,4,440,68,0.9285,0.0556,0.2052,0.1202,0.1545
913,Logistic,Structured,1,83,13,0.867,0.1538,0.2857,0.1731,0.1566
913,Logistic,Structured+Text,1,83,13,0.8725,0.0769,0.3,0.1709,0.1566
913,XGBoost,Structured,1,83,13,0.8637,0.1538,0.3,0.1798,0.1566
913,XGBoost,Structured+Text,1,83,13,0.8714,0.1538,0.3,0.1772,0.1566
917,Logistic,Structured,2,201,28,0.8983,0.1176,0.2216,0.153,0.1393
917,Logistic,Structured+Text,2,201,28,0.8988,0.1176,0.2216,0.1565,0.1393
917,XGBoost,Structured,2,201,28,0.893,0.1176,0.2376,0.1518,0.1393
917,XGBoost,Structured+Text,2,201,28,0.8934,0.1176,0.2439,0.1521,0.1393
921,Logistic,Structured,2,197,24,0.9451,0.0416,0.156,0.1088,0.1218
921,Logistic,Structured+Text,2,197,24,0.9432,0.0,0.1614,0.1103,0.1218
921,XGBoost,Structured,2,197,24,0.9558,0.0,0.1957,0.1065,0.1218
921,XGBoost,Structured+Text,2,197,24,0.9582,0.0,0.1901,0.106,0.1218
923,Logistic,Structured,1,86,15,0.938,0.0667,0.1127,0.0982,0.1744
923,Logistic,Structured+Text,1,86,15,0.9352,0.1333,0.1127,0.0955,0.1744
923,XGBoost,Structured,1,86,15,0.9596,0.0667,0.1268,0.082,0.1744
923,XGBoost,Structured+Text,1,86,15,0.9606,0.0667,0.1127,0.0773,0.1744
926,Logistic,Structured,2,178,27,0.9132,0.1456,0.1522,0.1191,0.1517
926,Logistic,Structured+Text,2,178,27,0.915,0.1813,0.1454,0.1174,0.1517
926,XGBoost,Structured,2,178,27,0.9232,0.1099,0.1922,0.11,0.1517
926,XGBoost,Structured+Text,2,178,27,0.9161,0.1099,0.1855,0.1116,0.1517
945,Logistic,Structured,5,665,84,0.9076,0.131,0.1815,0.1298,0.1263
945,Logistic,Structured+Text,5,665,84,0.9059,0.1047,0.1849,0.1311,0.1263
945,XGBoost,Structured,5,665,84,0.9201,0.0573,0.1967,0.1178,0.1263
945,XGBoost,Structured+Text,5,665,84,0.9254,0.0419,0.2119,0.1207,0.1263
951,Logistic,Structured,1,82,11,0.9296,0.0909,0.2817,0.1689,0.1341
951,Logistic,Structured+Text,1,82,11,0.9385,0.0909,0.2958,0.1723,0.1341
951,XGBoost,Structured,1,82,11,0.9462,0.0909,0.3521,0.1875,0.1341
951,XGBoost,Structured+Text,1,82,11,0.9475,0.0909,0.3521,0.1889,0.1341
980,Logistic,Structured,2,165,23,0.9144,0.0769,0.1629,0.1142,0.1394
