fold,Model,n_sub,n_val,val_AUC,C,max_depth,learning_rate,min_samples_leaf
1,Logistic,5355,1339,0.7007,0.03,,,
1,XGBoost,5355,1339,0.6876,,3.0,0.05,
1,RandomForest,5355,1339,0.7107,,,,10.0
2,Logistic,7914,1979,0.7282,0.03,,,
2,XGBoost,7914,1979,0.7211,,3.0,0.05,
2,RandomForest,7914,1979,0.7157,,,,10.0
3,Logistic,10939,2735,0.6894,0.03,,,
3,XGBoost,10939,2735,0.6977,,3.0,0.05,
3,RandomForest,10939,2735,0.6994,,,,10.0
4,Logistic,14532,3633,0.7111,1.0,,,
4,XGBoost,14532,3633,0.7073,,3.0,0.05,
4,RandomForest,14532,3633,0.7038,,,,10.0
5,Logistic,18837,4710,0.7033,0.03,,,
5,XGBoost,18837,4710,0.6974,,3.0,0.05,
5,RandomForest,18837,4710,0.7023,,,,50.0
6,Logistic,23736,5935,0.7112,0.1,,,
6,XGBoost,23736,5935,0.7117,,4.0,0.05,
6,RandomForest,23736,5935,0.7153,,,,10.0
7,Logistic,29428,7358,0.6777,0.03,,,
7,XGBoost,29428,7358,0.679,,3.0,0.05,
7,RandomForest,29428,7358,0.6742,,,,20.0
8,Logistic,36780,9196,0.6926,1.0,,,
8,XGBoost,36780,9196,0.6948,,3.0,0.05,
8,RandomForest,36780,9196,0.6911,,,,10.0
9,Logistic,47586,11897,0.6928,0.3,,,
9,XGBoost,47586,11897,0.69,,4.0,0.05,
9,RandomForest,47586,11897,0.691,,,,10.0
10,Logistic,62297,15575,0.6808,0.3,,,
10,XGBoost,62297,15575,0.6878,,3.0,0.05,
10,RandomForest,62297,15575,0.6832,,,,10.0
11,Logistic,78488,19623,0.6811,0.03,,,
11,XGBoost,78488,19623,0.6886,,3.0,0.1,
11,RandomForest,78488,19623,0.6874,,,,20.0
12,Logistic,100692,25173,0.6973,1.0,,,
12,XGBoost,100692,25173,0.6991,,3.0,0.1,
12,RandomForest,100692,25173,0.6961,,,,50.0
13,Logistic,128818,32205,0.6999,0.03,,,
13,XGBoost,128818,32205,0.7033,,3.0,0.1,
13,RandomForest,128818,32205,0.6981,,,,10.0
14,Logistic,161953,40489,0.6994,0.03,,,
14,XGBoost,161953,40489,0.7029,,3.0,0.1,
14,RandomForest,161953,40489,0.6973,,,,20.0
