fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,best_params,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,{'C': 0.03},0.6592,0.6179,0.7003,0.2275,0.1838,0.2903,0.2437,0.2325,0.2542,0.3184
1,2010-08,2010-09,6694,1042,157,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6523,0.6111,0.6943,0.224,0.1819,0.279,0.2181,0.2079,0.228,0.3046
1,2010-08,2010-09,6694,1042,157,RandomForest,{'min_samples_leaf': 10},0.6355,0.5965,0.6771,0.214,0.1734,0.2664,0.1809,0.1727,0.1882,0.271
2,2010-11,2010-12,9893,1222,136,Logistic,{'C': 0.03},0.68,0.6327,0.7252,0.2089,0.164,0.2719,0.212,0.2018,0.2229,0.36
2,2010-11,2010-12,9893,1222,136,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6876,0.6361,0.7329,0.2265,0.179,0.2935,0.1891,0.1789,0.2007,0.3751
2,2010-11,2010-12,9893,1222,136,RandomForest,{'min_samples_leaf': 10},0.6705,0.623,0.719,0.2248,0.172,0.2911,0.1548,0.1465,0.1624,0.3411
3,2011-02,2011-03,13674,1369,184,Logistic,{'C': 0.03},0.7055,0.6696,0.7436,0.2515,0.2095,0.3111,0.2297,0.2195,0.2398,0.411
3,2011-02,2011-03,13674,1369,184,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6908,0.6512,0.7333,0.2536,0.208,0.3134,0.2168,0.2074,0.2263,0.3815
3,2011-02,2011-03,13674,1369,184,RandomForest,{'min_samples_leaf': 10},0.7007,0.6638,0.7421,0.2571,0.2099,0.3214,0.1689,0.1612,0.1759,0.4014
4,2011-05,2011-06,18165,1762,255,Logistic,{'C': 1},0.7001,0.6653,0.7378,0.2835,0.2345,0.3445,0.2308,0.2217,0.2395,0.4002
4,2011-05,2011-06,18165,1762,255,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6835,0.6509,0.7163,0.2427,0.2053,0.291,0.2165,0.2088,0.2242,0.367
4,2011-05,2011-06,18165,1762,255,RandomForest,{'min_samples_leaf': 10},0.6875,0.6545,0.7219,0.2385,0.2037,0.2831,0.1703,0.1642,0.1764,0.3751
5,2011-08,2011-09,23547,1979,286,Logistic,{'C': 0.03},0.7193,0.688,0.751,0.3039,0.2551,0.3585,0.216,0.2084,0.224,0.4386
5,2011-08,2011-09,23547,1979,286,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.7179,0.6877,0.7503,0.3194,0.2699,0.383,0.2051,0.1979,0.2122,0.4358
5,2011-08,2011-09,23547,1979,286,RandomForest,{'min_samples_leaf': 50},0.7113,0.6797,0.743,0.3074,0.2629,0.3648,0.1972,0.1918,0.2035,0.4227
6,2011-11,2011-12,29671,2190,406,Logistic,{'C': 0.1},0.6704,0.6406,0.6955,0.2986,0.2637,0.3379,0.2595,0.2529,0.2672,0.3407
6,2011-11,2011-12,29671,2190,406,XGBoost,"{'max_depth': 4, 'learning_rate': 0.05}",0.6806,0.6524,0.707,0.3107,0.2729,0.3521,0.2402,0.2336,0.2472,0.3612
6,2011-11,2011-12,29671,2190,406,RandomForest,{'min_samples_leaf': 10},0.6732,0.6438,0.6983,0.3107,0.2734,0.3522,0.1931,0.1874,0.1994,0.3464
7,2012-02,2012-03,36786,2781,413,Logistic,{'C': 0.03},0.7008,0.6742,0.7264,0.2915,0.2557,0.3353,0.2192,0.213,0.225,0.4017
7,2012-02,2012-03,36786,2781,413,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.7017,0.6763,0.7291,0.2986,0.2647,0.3404,0.2131,0.2079,0.2184,0.4034
7,2012-02,2012-03,36786,2781,413,RandomForest,{'min_samples_leaf': 20},0.6908,0.6625,0.7194,0.2744,0.2422,0.316,0.1842,0.1799,0.1891,0.3815
