fold,Model,AUC_Structured,AUC_Structured+Text,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,0.6659,0.654,-0.0119,1.288,0.1979,-0.0062,0.0301
1,XGBoost,0.6436,0.6562,0.0126,-0.682,0.4952,-0.0488,0.0236
1,RandomForest,0.6446,0.6362,-0.0084,0.835,0.4039,-0.0113,0.028
2,Logistic,0.6758,0.6988,0.023,-2.792,0.0052,-0.0392,-0.0069
2,XGBoost,0.6822,0.688,0.0059,-0.365,0.715,-0.0373,0.0256
2,RandomForest,0.6651,0.6909,0.0259,-2.468,0.0136,-0.0464,-0.0053
3,Logistic,0.7135,0.7108,-0.0027,0.36,0.7192,-0.0121,0.0175
3,XGBoost,0.6922,0.6887,-0.0035,0.244,0.8074,-0.0246,0.0316
3,RandomForest,0.695,0.7008,0.0058,-0.651,0.5147,-0.0231,0.0116
4,Logistic,0.7001,0.7077,0.0076,-1.444,0.1486,-0.0179,0.0027
4,XGBoost,0.6882,0.713,0.0248,-2.396,0.0166,-0.0451,-0.0045
4,RandomForest,0.69,0.6985,0.0085,-1.177,0.2391,-0.0227,0.0057
5,Logistic,0.7206,0.7193,-0.0013,0.262,0.7936,-0.0084,0.011
5,XGBoost,0.7115,0.7182,0.0067,-0.794,0.4273,-0.0231,0.0098
5,RandomForest,0.7122,0.7165,0.0042,-0.714,0.475,-0.0158,0.0074
6,Logistic,0.6733,0.6847,0.0114,-2.473,0.0134,-0.0205,-0.0024
6,XGBoost,0.6842,0.6871,0.0029,-0.38,0.7043,-0.0178,0.012
6,RandomForest,0.6805,0.6842,0.0037,-0.666,0.5052,-0.0147,0.0072
7,Logistic,0.7016,0.7029,0.0013,-0.289,0.7728,-0.0103,0.0077
7,XGBoost,0.7037,0.6954,-0.0084,1.237,0.2162,-0.0049,0.0217
7,RandomForest,0.6947,0.6909,-0.0038,0.703,0.4818,-0.0068,0.0144
8,Logistic,0.6868,0.6892,0.0024,-0.767,0.4433,-0.0086,0.0038
8,XGBoost,0.6901,0.6905,0.0004,-0.064,0.9489,-0.0115,0.0108
8,RandomForest,0.6831,0.6841,0.0009,-0.237,0.8125,-0.0086,0.0067
9,Logistic,0.698,0.7021,0.0041,-1.588,0.1123,-0.0091,0.001
9,XGBoost,0.6942,0.709,0.0149,-3.169,0.0015,-0.024,-0.0057
9,RandomForest,0.6991,0.6985,-0.0005,0.17,0.865,-0.0056,0.0067
10,Logistic,0.6911,0.6981,0.0071,-2.659,0.0078,-0.0123,-0.0019
10,XGBoost,0.6904,0.6914,0.001,-0.326,0.7441,-0.007,0.005
10,RandomForest,0.6914,0.6928,0.0014,-0.575,0.5652,-0.0064,0.0035
11,Logistic,0.6945,0.6995,0.005,-2.242,0.025,-0.0093,-0.0006
11,XGBoost,0.6965,0.6967,0.0002,-0.061,0.9517,-0.0051,0.0048
11,RandomForest,0.6935,0.6947,0.0011,-0.58,0.5621,-0.005,0.0027
12,Logistic,0.7023,0.7071,0.0048,-2.561,0.0104,-0.0085,-0.0011
12,XGBoost,0.7017,0.7041,0.0023,-1.2,0.2303,-0.0062,0.0015
12,RandomForest,0.6999,0.6993,-0.0006,0.376,0.7073,-0.0025,0.0036
13,Logistic,0.6961,0.6987,0.0025,-1.665,0.0959,-0.0055,0.0004
13,XGBoost,0.6981,0.6968,-0.0013,0.8,0.4239,-0.0019,0.0045
13,RandomForest,0.6911,0.6886,-0.0025,1.76,0.0784,-0.0003,0.0053
14,Logistic,0.6985,0.7027,0.0042,-2.676,0.0074,-0.0072,-0.0011
14,XGBoost,0.7058,0.7045,-0.0012,1.007,0.3138,-0.0012,0.0037
14,RandomForest,0.7031,0.7021,-0.001,0.766,0.4439,-0.0015,0.0035
