fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,0.6595,0.6185,0.7003,0.2278,0.185,0.2889,0.2448,0.2334,0.2556,0.319
1,2010-08,2010-09,6694,1042,157,XGBoost,0.6388,0.5936,0.6827,0.2169,0.1751,0.2726,0.1998,0.1885,0.2097,0.2776
1,2010-08,2010-09,6694,1042,157,RandomForest,0.6346,0.5961,0.6766,0.2156,0.1749,0.268,0.2031,0.1951,0.2106,0.2691
2,2010-11,2010-12,9893,1222,136,Logistic,0.6803,0.6334,0.725,0.2075,0.1632,0.2692,0.2092,0.199,0.2202,0.3606
2,2010-11,2010-12,9893,1222,136,XGBoost,0.6762,0.6266,0.7229,0.2292,0.1772,0.2998,0.1755,0.1643,0.1869,0.3523
2,2010-11,2010-12,9893,1222,136,RandomForest,0.6696,0.6229,0.7167,0.2291,0.1743,0.2942,0.1768,0.1687,0.1844,0.3393
3,2011-02,2011-03,13674,1369,184,Logistic,0.705,0.6697,0.7438,0.2516,0.2098,0.312,0.2293,0.219,0.2395,0.41
3,2011-02,2011-03,13674,1369,184,XGBoost,0.6867,0.646,0.7289,0.2471,0.2025,0.3062,0.2025,0.1931,0.2122,0.3735
3,2011-02,2011-03,13674,1369,184,RandomForest,0.7017,0.6635,0.7421,0.2546,0.2107,0.3187,0.192,0.1843,0.199,0.4033
4,2011-05,2011-06,18165,1762,255,Logistic,0.7001,0.6653,0.7378,0.2835,0.2345,0.3446,0.2308,0.2217,0.2395,0.4002
4,2011-05,2011-06,18165,1762,255,XGBoost,0.6759,0.6426,0.7117,0.2362,0.2007,0.2825,0.2079,0.1998,0.2158,0.3518
4,2011-05,2011-06,18165,1762,255,RandomForest,0.6864,0.6531,0.7215,0.2388,0.2026,0.2845,0.1912,0.1851,0.1975,0.3727
5,2011-08,2011-09,23547,1979,286,Logistic,0.7194,0.6881,0.7509,0.303,0.2548,0.3572,0.217,0.2093,0.225,0.4388
5,2011-08,2011-09,23547,1979,286,XGBoost,0.7201,0.6915,0.7523,0.3193,0.2677,0.3827,0.1968,0.1892,0.2044,0.4402
5,2011-08,2011-09,23547,1979,286,RandomForest,0.7175,0.6838,0.7489,0.318,0.2736,0.3785,0.1783,0.1727,0.1846,0.4349
6,2011-11,2011-12,29671,2190,406,Logistic,0.6703,0.6406,0.6955,0.2986,0.2637,0.3379,0.2595,0.2529,0.2672,0.3407
6,2011-11,2011-12,29671,2190,406,XGBoost,0.6806,0.6524,0.707,0.3107,0.2729,0.3521,0.2402,0.2336,0.2472,0.3612
