zip3,Model,Variant,n_folds,n_total,n_default,AUC_mean,FNR_mean,FPR_mean,Brier_mean,default_rate
100,Logistic,Structured,3,334,42,0.668,0.4266,0.3252,0.2092,0.1257
100,Logistic,Structured+Text,3,334,42,0.6803,0.3856,0.3142,0.2041,0.1257
100,RandomForest,Structured,3,334,42,0.6496,0.6916,0.1614,0.1662,0.1257
100,RandomForest,Structured+Text,3,334,42,0.6706,0.6659,0.1808,0.1778,0.1257
100,XGBoost,Structured,3,334,42,0.661,0.4078,0.3326,0.2096,0.1257
100,XGBoost,Structured+Text,3,334,42,0.6913,0.3822,0.3157,0.2025,0.1257
104,Logistic,Structured,2,199,44,0.7857,0.1294,0.5016,0.2414,0.2211
104,Logistic,Structured+Text,2,199,44,0.7554,0.0491,0.5016,0.25,0.2211
104,RandomForest,Structured,2,199,44,0.773,0.4107,0.2062,0.1869,0.2211
104,RandomForest,Structured+Text,2,199,44,0.7552,0.3616,0.2908,0.2011,0.2211
104,XGBoost,Structured,2,199,44,0.7776,0.0982,0.4829,0.2309,0.2211
104,XGBoost,Structured+Text,2,199,44,0.7518,0.1294,0.5021,0.2386,0.2211
112,Logistic,Structured,4,517,108,0.7072,0.2617,0.41,0.232,0.2089
112,Logistic,Structured+Text,4,517,108,0.7086,0.2291,0.4032,0.2317,0.2089
112,RandomForest,Structured,4,517,108,0.7146,0.5623,0.1976,0.1859,0.2089
112,RandomForest,Structured+Text,4,517,108,0.7127,0.4903,0.2416,0.1963,0.2089
112,XGBoost,Structured,4,517,108,0.7221,0.2982,0.4046,0.2237,0.2089
112,XGBoost,Structured+Text,4,517,108,0.7322,0.2508,0.403,0.2216,0.2089
117,Logistic,Structured,2,199,40,0.6104,0.381,0.4413,0.2504,0.201
117,Logistic,Structured+Text,2,199,40,0.6152,0.4322,0.4413,0.2512,0.201
117,RandomForest,Structured,2,199,40,0.5813,0.7532,0.2215,0.2032,0.201
117,RandomForest,Structured+Text,2,199,40,0.5786,0.6509,0.2694,0.213,0.201
117,XGBoost,Structured,2,199,40,0.5781,0.4246,0.423,0.2482,0.201
117,XGBoost,Structured+Text,2,199,40,0.5944,0.454,0.4157,0.2416,0.201
300,Logistic,Structured,2,221,29,0.7968,0.2072,0.3281,0.2023,0.1312
300,Logistic,Structured+Text,2,221,29,0.8137,0.1738,0.3336,0.202,0.1312
300,RandomForest,Structured,2,221,29,0.7824,0.3762,0.1945,0.1658,0.1312
300,RandomForest,Structured+Text,2,221,29,0.7715,0.3762,0.2406,0.1791,0.1312
300,XGBoost,Structured,2,221,29,0.8014,0.2072,0.352,0.2031,0.1312
300,XGBoost,Structured+Text,2,221,29,0.8001,0.2072,0.3944,0.2112,0.1312
330,Logistic,Structured,3,290,53,0.667,0.2884,0.5022,0.2623,0.1828
330,Logistic,Structured+Text,3,290,53,0.6914,0.2494,0.4784,0.258,0.1828
330,RandomForest,Structured,3,290,53,0.6817,0.4771,0.2253,0.1945,0.1828
330,RandomForest,Structured+Text,3,290,53,0.6727,0.4078,0.2758,0.204,0.1828
330,XGBoost,Structured,3,290,53,0.696,0.2385,0.4832,0.2458,0.1828
330,XGBoost,Structured+Text,3,290,53,0.7046,0.269,0.4649,0.2436,0.1828
331,Logistic,Structured,3,309,47,0.6253,0.3652,0.4915,0.268,0.1521
331,Logistic,Structured+Text,3,309,47,0.6103,0.386,0.5104,0.2711,0.1521
331,RandomForest,Structured,3,309,47,0.6076,0.5758,0.2593,0.1998,0.1521
331,RandomForest,Structured+Text,3,309,47,0.6063,0.5383,0.2951,0.2095,0.1521
331,XGBoost,Structured,3,309,47,0.6038,0.3705,0.5011,0.2617,0.1521
331,XGBoost,Structured+Text,3,309,47,0.6156,0.3663,0.496,0.2593,0.1521
334,Logistic,Structured,1,82,19,0.7109,0.3684,0.3016,0.221,0.2317
334,Logistic,Structured+Text,1,82,19,0.6959,0.4211,0.3651,0.2197,0.2317
334,RandomForest,Structured,1,82,19,0.7377,0.5263,0.1111,0.173,0.2317
334,RandomForest,Structured+Text,1,82,19,0.7285,0.5263,0.1746,0.1842,0.2317
334,XGBoost,Structured,1,82,19,0.7519,0.3684,0.3016,0.205,0.2317
334,XGBoost,Structured+Text,1,82,19,0.7235,0.3684,0.3016,0.2093,0.2317
606,Logistic,Structured,4,446,56,0.7434,0.4033,0.265,0.19,0.1256
606,Logistic,Structured+Text,4,446,56,0.7323,0.4219,0.2681,0.189,0.1256
606,RandomForest,Structured,4,446,56,0.7648,0.5394,0.1471,0.1579,0.1256
606,RandomForest,Structured+Text,4,446,56,0.7534,0.4702,0.1928,0.1716,0.1256
606,XGBoost,Structured,4,446,56,0.7642,0.3824,0.3006,0.1911,0.1256
606,XGBoost,Structured+Text,4,446,56,0.7466,0.3177,0.3365,0.2013,0.1256
70,Logistic,Structured,2,261,50,0.7078,0.3264,0.3509,0.2204,0.1916
70,Logistic,Structured+Text,2,261,50,0.7126,0.3229,0.3516,0.2179,0.1916
70,RandomForest,Structured,2,261,50,0.6909,0.6892,0.1288,0.1717,0.1916
70,RandomForest,Structured+Text,2,261,50,0.694,0.5868,0.1617,0.1816,0.1916
70,XGBoost,Structured,2,261,50,0.6909,0.382,0.3611,0.216,0.1916
70,XGBoost,Structured+Text,2,261,50,0.6997,0.3386,0.333,0.2094,0.1916
750,Logistic,Structured,5,622,90,0.6997,0.4875,0.2408,0.1911,0.1447
750,Logistic,Structured+Text,5,622,90,0.6981,0.4559,0.2619,0.1898,0.1447
750,RandomForest,Structured,5,622,90,0.6905,0.7155,0.1551,0.1648,0.1447
750,RandomForest,Structured+Text,5,622,90,0.6926,0.5834,0.1908,0.1766,0.1447
750,XGBoost,Structured,5,622,90,0.6969,0.4282,0.2696,0.1894,0.1447
750,XGBoost,Structured+Text,5,622,90,0.6946,0.3926,0.2965,0.1957,0.1447
770,Logistic,Structured,3,291,38,0.6664,0.4607,0.2871,0.2061,0.1306
770,Logistic,Structured+Text,3,291,38,0.6705,0.4239,0.2802,0.2053,0.1306
770,RandomForest,Structured,3,291,38,0.6893,0.553,0.1799,0.1733,0.1306
770,RandomForest,Structured+Text,3,291,38,0.6944,0.4718,0.2269,0.1864,0.1306
770,XGBoost,Structured,3,291,38,0.6921,0.4863,0.3122,0.2045,0.1306
770,XGBoost,Structured+Text,3,291,38,0.6848,0.394,0.346,0.2125,0.1306
773,Logistic,Structured,1,82,13,0.7079,0.3846,0.2319,0.1997,0.1585
773,Logistic,Structured+Text,1,82,13,0.7146,0.5385,0.2174,0.1967,0.1585
773,RandomForest,Structured,1,82,13,0.7336,0.5385,0.1884,0.1678,0.1585
773,RandomForest,Structured+Text,1,82,13,0.7135,0.5385,0.1884,0.1799,0.1585
773,XGBoost,Structured,1,82,13,0.7135,0.4615,0.3188,0.2008,0.1585
773,XGBoost,Structured+Text,1,82,13,0.7113,0.4615,0.3188,0.2019,0.1585
80,Logistic,Structured,1,90,11,0.641,0.3636,0.5063,0.2569,0.1222
80,Logistic,Structured+Text,1,90,11,0.6306,0.3636,0.519,0.2574,0.1222
80,RandomForest,Structured,1,90,11,0.6133,0.6364,0.1519,0.1823,0.1222
80,RandomForest,Structured+Text,1,90,11,0.6168,0.4545,0.1772,0.1938,0.1222
80,XGBoost,Structured,1,90,11,0.6064,0.3636,0.443,0.2533,0.1222
80,XGBoost,Structured+Text,1,90,11,0.6318,0.3636,0.443,0.247,0.1222
891,Logistic,Structured,3,292,66,0.6668,0.261,0.5111,0.2619,0.226
891,Logistic,Structured+Text,3,292,66,0.6642,0.2744,0.5243,0.2628,0.226
891,RandomForest,Structured,3,292,66,0.664,0.5784,0.2224,0.1939,0.226
891,RandomForest,Structured+Text,3,292,66,0.6535,0.5015,0.2563,0.2038,0.226
891,XGBoost,Structured,3,292,66,0.656,0.3373,0.4339,0.2427,0.226
891,XGBoost,Structured+Text,3,292,66,0.6607,0.3222,0.427,0.2417,0.226
900,Logistic,Structured,4,440,68,0.6998,0.3877,0.3476,0.2205,0.1545
900,Logistic,Structured+Text,4,440,68,0.6964,0.3706,0.3268,0.2172,0.1545
900,RandomForest,Structured,4,440,68,0.6931,0.6208,0.1936,0.1746,0.1545
900,RandomForest,Structured+Text,4,440,68,0.6921,0.5014,0.2218,0.1874,0.1545
900,XGBoost,Structured,4,440,68,0.6996,0.4071,0.3374,0.2138,0.1545
900,XGBoost,Structured+Text,4,440,68,0.6961,0.3939,0.3489,0.2159,0.1545
913,Logistic,Structured,1,83,13,0.6582,0.3077,0.3571,0.2303,0.1566
913,Logistic,Structured+Text,1,83,13,0.6879,0.3077,0.3143,0.2263,0.1566
913,RandomForest,Structured,1,83,13,0.667,0.4615,0.2,0.1789,0.1566
913,RandomForest,Structured+Text,1,83,13,0.6857,0.4615,0.2429,0.1894,0.1566
913,XGBoost,Structured,1,83,13,0.656,0.3846,0.3143,0.2195,0.1566
913,XGBoost,Structured+Text,1,83,13,0.6692,0.3077,0.3429,0.2217,0.1566
917,Logistic,Structured,2,201,28,0.7399,0.2246,0.3465,0.2185,0.1393
917,Logistic,Structured+Text,2,201,28,0.7213,0.3288,0.3518,0.2196,0.1393
917,RandomForest,Structured,2,201,28,0.7053,0.746,0.178,0.1704,0.1393
917,RandomForest,Structured+Text,2,201,28,0.7091,0.5508,0.228,0.1815,0.1393
917,XGBoost,Structured,2,201,28,0.7017,0.3128,0.3644,0.217,0.1393
917,XGBoost,Structured+Text,2,201,28,0.6874,0.3128,0.3697,0.2188,0.1393
921,Logistic,Structured,2,197,24,0.7009,0.4584,0.3738,0.2154,0.1218
921,Logistic,Structured+Text,2,197,24,0.6764,0.4584,0.3742,0.2167,0.1218
921,RandomForest,Structured,2,197,24,0.718,0.5416,0.1669,0.1616,0.1218
921,RandomForest,Structured+Text,2,197,24,0.714,0.5,0.2016,0.1752,0.1218
921,XGBoost,Structured,2,197,24,0.7183,0.4167,0.357,0.2067,0.1218
921,XGBoost,Structured+Text,2,197,24,0.7208,0.4167,0.357,0.2042,0.1218
923,Logistic,Structured,1,86,15,0.7972,0.1333,0.3521,0.2198,0.1744
923,Logistic,Structured+Text,1,86,15,0.7624,0.2,0.3803,0.2221,0.1744
923,RandomForest,Structured,1,86,15,0.7944,0.4,0.1408,0.1735,0.1744
923,RandomForest,Structured+Text,1,86,15,0.7869,0.3333,0.169,0.1827,0.1744
