fold,Model,AUC_Structured,AUC_Structured+Text,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,0.6568,0.6522,-0.0045,0.472,0.6371,-0.0142,0.0232
1,XGBoost,0.6231,0.6257,0.0026,-0.129,0.8977,-0.0425,0.0373
1,RandomForest,0.6265,0.6281,0.0016,-0.158,0.8745,-0.0211,0.018
2,Logistic,0.6785,0.6959,0.0174,-2.028,0.0426,-0.0343,-0.0006
2,XGBoost,0.6761,0.6874,0.0114,-0.671,0.502,-0.0446,0.0218
2,RandomForest,0.6669,0.6908,0.0239,-2.346,0.019,-0.0439,-0.0039
3,Logistic,0.7051,0.7106,0.0054,-0.662,0.5081,-0.0215,0.0106
3,XGBoost,0.6864,0.693,0.0065,-0.434,0.6646,-0.0361,0.023
3,RandomForest,0.701,0.7033,0.0023,-0.252,0.8012,-0.0202,0.0156
4,Logistic,0.6985,0.7101,0.0116,-2.158,0.031,-0.0221,-0.0011
4,XGBoost,0.6797,0.7089,0.0292,-2.884,0.0039,-0.049,-0.0093
4,RandomForest,0.6873,0.6957,0.0084,-1.101,0.2707,-0.0234,0.0066
5,Logistic,0.7172,0.7195,0.0022,-0.421,0.6739,-0.0127,0.0082
5,XGBoost,0.7141,0.7194,0.0053,-0.579,0.5624,-0.0231,0.0125
5,RandomForest,0.7116,0.7167,0.005,-0.824,0.4097,-0.017,0.0069
6,Logistic,0.6707,0.6812,0.0105,-2.184,0.029,-0.02,-0.0011
6,XGBoost,0.68,0.6824,0.0024,-0.314,0.7533,-0.017,0.0123
6,RandomForest,0.6756,0.6779,0.0023,-0.443,0.6581,-0.0125,0.0079
7,Logistic,0.7009,0.7024,0.0015,-0.318,0.7505,-0.0108,0.0078
7,XGBoost,0.6997,0.6873,-0.0124,1.762,0.078,-0.0014,0.0262
7,RandomForest,0.6911,0.6885,-0.0026,0.432,0.6654,-0.0092,0.0144
8,Logistic,0.6838,0.6865,0.0027,-0.844,0.3985,-0.009,0.0036
8,XGBoost,0.6878,0.6842,-0.0036,0.608,0.543,-0.0081,0.0153
8,RandomForest,0.6843,0.6821,-0.0022,0.524,0.6006,-0.0059,0.0103
9,Logistic,0.6987,0.7032,0.0045,-1.721,0.0853,-0.0095,0.0006
9,XGBoost,0.6936,0.7088,0.0152,-3.126,0.0018,-0.0248,-0.0057
9,RandomForest,0.7041,0.7014,-0.0027,0.872,0.3833,-0.0034,0.0088
10,Logistic,0.692,0.6974,0.0054,-2.01,0.0444,-0.0106,-0.0001
10,XGBoost,0.6944,0.6921,-0.0023,0.72,0.4716,-0.004,0.0087
10,RandomForest,0.6925,0.6943,0.0017,-0.679,0.4973,-0.0068,0.0033
11,Logistic,0.6913,0.6962,0.0049,-2.19,0.0285,-0.0094,-0.0005
11,XGBoost,0.696,0.6924,-0.0036,1.367,0.1717,-0.0016,0.0089
11,RandomForest,0.6911,0.6897,-0.0015,0.712,0.4763,-0.0026,0.0055
12,Logistic,0.7035,0.707,0.0035,-1.933,0.0532,-0.0071,0.0
12,XGBoost,0.705,0.7044,-0.0006,0.317,0.7515,-0.0033,0.0045
12,RandomForest,0.6989,0.6975,-0.0014,0.88,0.3786,-0.0017,0.0045
13,Logistic,0.6947,0.6976,0.003,-1.935,0.053,-0.006,0.0
13,XGBoost,0.6957,0.6952,-0.0005,0.318,0.7505,-0.0026,0.0036
13,RandomForest,0.6895,0.6882,-0.0013,0.858,0.3908,-0.0017,0.0043
14,Logistic,0.6999,0.7044,0.0045,-2.956,0.0031,-0.0075,-0.0015
14,XGBoost,0.7056,0.707,0.0014,-1.129,0.2588,-0.0039,0.0011
14,RandomForest,0.7037,0.703,-0.0007,0.537,0.5916,-0.0019,0.0034
