Model,Variant,threshold,n_candidate_groups,n_pass_n_threshold,n_pass_pos_threshold,n_included
Logistic,Structured,0.5,594.1,4.7,10.1,4.2
Logistic,Structured,0.6,594.1,4.7,10.1,4.2
Logistic,Structured,0.7,594.1,4.7,10.1,4.2
Logistic,Structured+Text,0.5,594.1,4.7,10.1,4.2
Logistic,Structured+Text,0.6,594.1,4.7,10.1,4.2
Logistic,Structured+Text,0.7,594.1,4.7,10.1,4.2
RandomForest,Structured,0.5,594.1,4.7,10.1,4.2
RandomForest,Structured,0.6,594.1,4.7,10.1,4.2
RandomForest,Structured,0.7,594.1,4.7,10.1,4.2
RandomForest,Structured+Text,0.5,594.1,4.7,10.1,4.2
RandomForest,Structured+Text,0.6,594.1,4.7,10.1,4.2
RandomForest,Structured+Text,0.7,594.1,4.7,10.1,4.2
XGBoost,Structured,0.5,594.1,4.7,10.1,4.2
XGBoost,Structured,0.6,594.1,4.7,10.1,4.2
XGBoost,Structured,0.7,594.1,4.7,10.1,4.2
XGBoost,Structured+Text,0.5,594.1,4.7,10.1,4.2
XGBoost,Structured+Text,0.6,594.1,4.7,10.1,4.2
XGBoost,Structured+Text,0.7,594.1,4.7,10.1,4.2
