fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,Structured,0.6568,0.6173,0.6987,0.2246,0.1821,0.2855,0.2447,0.2331,0.2552,0.3135
1,2010-08,2010-09,6694,1042,157,Logistic,Structured+Text,0.6522,0.6083,0.6966,0.2224,0.1801,0.2835,0.2323,0.2203,0.2435,0.3045
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured,0.6231,0.5781,0.6634,0.2049,0.1666,0.2542,0.2045,0.1937,0.2139,0.2462
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured+Text,0.6257,0.5816,0.6691,0.2297,0.1834,0.2929,0.2032,0.1923,0.2128,0.2514
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured,0.6265,0.5878,0.6691,0.2078,0.1677,0.2596,0.207,0.1988,0.2144,0.253
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured+Text,0.6281,0.589,0.6686,0.2227,0.1779,0.2847,0.2033,0.1966,0.2095,0.2561
2,2010-11,2010-12,9893,1222,136,Logistic,Structured,0.6785,0.6326,0.7231,0.2065,0.1615,0.2674,0.2089,0.1985,0.2197,0.357
2,2010-11,2010-12,9893,1222,136,Logistic,Structured+Text,0.6959,0.6554,0.7404,0.218,0.1727,0.2844,0.2016,0.191,0.2133,0.3919
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured,0.6761,0.6264,0.7236,0.2078,0.1621,0.2756,0.1811,0.1705,0.1922,0.3521
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured+Text,0.6874,0.6438,0.7343,0.2177,0.1706,0.2891,0.1774,0.167,0.1866,0.3749
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured,0.6669,0.6217,0.7141,0.2085,0.1605,0.2726,0.1791,0.1708,0.1869,0.3337
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured+Text,0.6908,0.6487,0.7336,0.205,0.1609,0.2633,0.1788,0.1726,0.1851,0.3816
3,2011-02,2011-03,13674,1369,184,Logistic,Structured,0.7051,0.6689,0.7436,0.2525,0.2101,0.3147,0.2296,0.2191,0.2395,0.4103
3,2011-02,2011-03,13674,1369,184,Logistic,Structured+Text,0.7106,0.6712,0.7464,0.2585,0.2171,0.3196,0.2221,0.2118,0.2334,0.4211
3,2011-02,2011-03,13674,1369,184,XGBoost,Structured,0.6864,0.6486,0.7266,0.2476,0.2022,0.3094,0.2039,0.1944,0.2134,0.3728
3,2011-02,2011-03,13674,1369,184,XGBoost,Structured+Text,0.693,0.6556,0.7323,0.2473,0.2068,0.3043,0.2065,0.1966,0.2157,0.3859
3,2011-02,2011-03,13674,1369,184,RandomForest,Structured,0.701,0.6645,0.7412,0.251,0.209,0.3104,0.1936,0.1859,0.2008,0.402
3,2011-02,2011-03,13674,1369,184,RandomForest,Structured+Text,0.7033,0.6682,0.7424,0.2467,0.2072,0.3037,0.1939,0.1871,0.1999,0.4066
4,2011-05,2011-06,18165,1762,255,Logistic,Structured,0.6985,0.6638,0.7359,0.2808,0.2327,0.3421,0.2309,0.222,0.2395,0.397
4,2011-05,2011-06,18165,1762,255,Logistic,Structured+Text,0.7101,0.6742,0.7441,0.3036,0.2517,0.3631,0.2246,0.2156,0.2334,0.4202
4,2011-05,2011-06,18165,1762,255,XGBoost,Structured,0.6797,0.6465,0.7137,0.249,0.2103,0.297,0.2055,0.1972,0.2131,0.3595
4,2011-05,2011-06,18165,1762,255,XGBoost,Structured+Text,0.7089,0.6736,0.7419,0.279,0.2333,0.3286,0.2041,0.1966,0.212,0.4178
4,2011-05,2011-06,18165,1762,255,RandomForest,Structured,0.6873,0.6533,0.7226,0.2425,0.2066,0.2896,0.1924,0.1865,0.1987,0.3746
4,2011-05,2011-06,18165,1762,255,RandomForest,Structured+Text,0.6957,0.6621,0.7289,0.2532,0.2175,0.3009,0.1937,0.1883,0.1991,0.3915
5,2011-08,2011-09,23547,1979,286,Logistic,Structured,0.7172,0.6851,0.7488,0.3049,0.2555,0.3615,0.2167,0.2093,0.2246,0.4344
5,2011-08,2011-09,23547,1979,286,Logistic,Structured+Text,0.7195,0.6891,0.7514,0.3101,0.2633,0.3673,0.2128,0.2051,0.2208,0.4389
5,2011-08,2011-09,23547,1979,286,XGBoost,Structured,0.7141,0.6852,0.7485,0.3182,0.2703,0.3805,0.1981,0.1904,0.206,0.4282
5,2011-08,2011-09,23547,1979,286,XGBoost,Structured+Text,0.7194,0.6893,0.7485,0.3122,0.2669,0.371,0.1966,0.1902,0.2032,0.4388
5,2011-08,2011-09,23547,1979,286,RandomForest,Structured,0.7116,0.6789,0.7434,0.3063,0.2619,0.3622,0.1809,0.1751,0.1874,0.4233
5,2011-08,2011-09,23547,1979,286,RandomForest,Structured+Text,0.7167,0.6878,0.745,0.3046,0.2617,0.3667,0.1845,0.1797,0.1894,0.4333
6,2011-11,2011-12,29671,2190,406,Logistic,Structured,0.6707,0.6412,0.6968,0.2966,0.2636,0.3371,0.2599,0.2532,0.2677,0.3414
6,2011-11,2011-12,29671,2190,406,Logistic,Structured+Text,0.6812,0.6521,0.7076,0.3148,0.2776,0.355,0.2577,0.2509,0.2658,0.3624
6,2011-11,2011-12,29671,2190,406,XGBoost,Structured,0.68,0.6499,0.7065,0.3093,0.2723,0.3513,0.2418,0.2349,0.2486,0.36
6,2011-11,2011-12,29671,2190,406,XGBoost,Structured+Text,0.6824,0.6556,0.7092,0.317,0.278,0.3617,0.2399,0.2339,0.2465,0.3647
6,2011-11,2011-12,29671,2190,406,RandomForest,Structured,0.6756,0.6466,0.7018,0.3079,0.27,0.3481,0.2152,0.2097,0.2209,0.3512
6,2011-11,2011-12,29671,2190,406,RandomForest,Structured+Text,0.6779,0.6495,0.7044,0.3165,0.278,0.36,0.2154,0.2108,0.2201,0.3558
7,2012-02,2012-03,36786,2781,413,Logistic,Structured,0.7009,0.6744,0.7265,0.293,0.2582,0.3359,0.2192,0.2133,0.2252,0.4018
7,2012-02,2012-03,36786,2781,413,Logistic,Structured+Text,0.7024,0.6763,0.7271,0.2868,0.2516,0.3292,0.2203,0.2144,0.2262,0.4048
7,2012-02,2012-03,36786,2781,413,XGBoost,Structured,0.6997,0.6728,0.7271,0.2949,0.2607,0.339,0.2081,0.2029,0.2135,0.3993
7,2012-02,2012-03,36786,2781,413,XGBoost,Structured+Text,0.6873,0.6594,0.7136,0.2724,0.2402,0.3161,0.213,0.2076,0.2184,0.3745
7,2012-02,2012-03,36786,2781,413,RandomForest,Structured,0.6911,0.6629,0.7194,0.2772,0.2465,0.3201,0.1854,0.1813,0.1904,0.3823
7,2012-02,2012-03,36786,2781,413,RandomForest,Structured+Text,0.6885,0.6598,0.715,0.273,0.2382,0.3134,0.1942,0.1903,0.1982,0.377
8,2012-05,2012-06,45976,3713,681,Logistic,Structured,0.6838,0.6608,0.7038,0.3297,0.2951,0.3602,0.2621,0.2564,0.2684,0.3677
8,2012-05,2012-06,45976,3713,681,Logistic,Structured+Text,0.6865,0.6615,0.7068,0.3321,0.2979,0.364,0.2601,0.2539,0.2662,0.3731
8,2012-05,2012-06,45976,3713,681,XGBoost,Structured,0.6878,0.6632,0.7083,0.3264,0.2925,0.3611,0.2379,0.2326,0.2436,0.3756
