zip3,Model,Variant,n_folds,n_total,n_default,AUC_mean,FNR_mean,FPR_mean,Brier_mean,default_rate
100,Logistic,Structured,3,332,40,0.675,0.4008,0.3217,0.211,0.1205
100,Logistic,Structured+Text,3,332,40,0.6911,0.3532,0.3171,0.206,0.1205
100,RandomForest,Structured,3,332,40,0.6629,0.631,0.1587,0.1653,0.1205
100,RandomForest,Structured+Text,3,332,40,0.6737,0.5278,0.2178,0.1858,0.1205
100,XGBoost,Structured,3,332,40,0.6721,0.4246,0.3599,0.2106,0.1205
100,XGBoost,Structured+Text,3,332,40,0.696,0.377,0.3186,0.2049,0.1205
104,Logistic,Structured,2,196,43,0.7848,0.0996,0.5154,0.2456,0.2194
104,Logistic,Structured+Text,2,196,43,0.7718,0.081,0.509,0.2512,0.2194
104,RandomForest,Structured,2,196,43,0.7643,0.4294,0.2154,0.1889,0.2194
104,RandomForest,Structured+Text,2,196,43,0.7592,0.2361,0.3402,0.2084,0.2194
104,XGBoost,Structured,2,196,43,0.777,0.0683,0.47,0.2352,0.2194
104,XGBoost,Structured+Text,2,196,43,0.767,0.1493,0.5034,0.2378,0.2194
112,Logistic,Structured,4,505,102,0.702,0.2591,0.4178,0.2342,0.202
112,Logistic,Structured+Text,4,505,102,0.7107,0.2393,0.4388,0.2338,0.202
112,RandomForest,Structured,4,505,102,0.7177,0.5446,0.1875,0.1846,0.202
112,RandomForest,Structured+Text,4,505,102,0.7046,0.431,0.2684,0.2029,0.202
112,XGBoost,Structured,4,505,102,0.715,0.2819,0.4155,0.226,0.202
112,XGBoost,Structured+Text,4,505,102,0.723,0.275,0.3964,0.2235,0.202
117,Logistic,Structured,2,194,38,0.6176,0.36,0.4456,0.2495,0.1959
117,Logistic,Structured+Text,2,194,38,0.627,0.36,0.4626,0.2504,0.1959
117,RandomForest,Structured,2,194,38,0.5676,0.7563,0.2166,0.2037,0.1959
117,RandomForest,Structured+Text,2,194,38,0.584,0.514,0.2744,0.216,0.1959
117,XGBoost,Structured,2,194,38,0.5826,0.3838,0.4496,0.2497,0.1959
117,XGBoost,Structured+Text,2,194,38,0.5836,0.4369,0.4308,0.2453,0.1959
300,Logistic,Structured,2,215,27,0.8084,0.225,0.3386,0.2,0.1256
300,Logistic,Structured+Text,2,215,27,0.8225,0.1916,0.3341,0.2012,0.1256
300,RandomForest,Structured,2,215,27,0.7796,0.3584,0.1825,0.1634,0.1256
300,RandomForest,Structured+Text,2,215,27,0.764,0.325,0.2785,0.1855,0.1256
300,XGBoost,Structured,2,215,27,0.7878,0.225,0.3694,0.206,0.1256
300,XGBoost,Structured+Text,2,215,27,0.7872,0.1916,0.4178,0.2112,0.1256
330,Logistic,Structured,3,286,51,0.6583,0.2817,0.5244,0.2669,0.1783
330,Logistic,Structured+Text,3,286,51,0.6844,0.2421,0.4991,0.2615,0.1783
330,RandomForest,Structured,3,286,51,0.6735,0.4742,0.2327,0.1958,0.1783
330,RandomForest,Structured+Text,3,286,51,0.6731,0.371,0.3174,0.2093,0.1783
330,XGBoost,Structured,3,286,51,0.6949,0.245,0.4695,0.2486,0.1783
330,XGBoost,Structured+Text,3,286,51,0.6983,0.2659,0.4874,0.2453,0.1783
331,Logistic,Structured,3,304,47,0.6361,0.2807,0.4875,0.2644,0.1546
331,Logistic,Structured+Text,3,304,47,0.6308,0.3693,0.4996,0.2661,0.1546
331,RandomForest,Structured,3,304,47,0.6156,0.5966,0.2607,0.1979,0.1546
331,RandomForest,Structured+Text,3,304,47,0.6094,0.5383,0.3386,0.2155,0.1546
331,XGBoost,Structured,3,304,47,0.6228,0.3455,0.5128,0.2586,0.1546
331,XGBoost,Structured+Text,3,304,47,0.6196,0.3705,0.5087,0.2596,0.1546
334,Logistic,Structured,1,82,19,0.6984,0.4211,0.3175,0.2221,0.2317
334,Logistic,Structured+Text,1,82,19,0.7051,0.4211,0.3333,0.2202,0.2317
334,RandomForest,Structured,1,82,19,0.7293,0.5263,0.1429,0.176,0.2317
334,RandomForest,Structured+Text,1,82,19,0.7327,0.5263,0.1905,0.1911,0.2317
334,XGBoost,Structured,1,82,19,0.7494,0.3684,0.3333,0.2079,0.2317
334,XGBoost,Structured+Text,1,82,19,0.7444,0.3158,0.3016,0.2078,0.2317
606,Logistic,Structured,4,442,56,0.7528,0.3824,0.2766,0.1891,0.1267
606,Logistic,Structured+Text,4,442,56,0.7388,0.4062,0.2799,0.1896,0.1267
606,RandomForest,Structured,4,442,56,0.7696,0.5238,0.1678,0.1584,0.1267
606,RandomForest,Structured+Text,4,442,56,0.7553,0.4494,0.2278,0.1801,0.1267
606,XGBoost,Structured,4,442,56,0.7707,0.3467,0.2942,0.1895,0.1267
606,XGBoost,Structured+Text,4,442,56,0.7547,0.3199,0.3312,0.2012,0.1267
70,Logistic,Structured,2,258,49,0.7057,0.3189,0.3594,0.2236,0.1899
70,Logistic,Structured+Text,2,258,49,0.701,0.3484,0.3544,0.2225,0.1899
70,RandomForest,Structured,2,258,49,0.6908,0.6498,0.1343,0.173,0.1899
70,RandomForest,Structured+Text,2,258,49,0.6948,0.5303,0.2164,0.1888,0.1899
70,XGBoost,Structured,2,258,49,0.6872,0.3934,0.3597,0.217,0.1899
70,XGBoost,Structured+Text,2,258,49,0.6944,0.3621,0.3648,0.2123,0.1899
750,Logistic,Structured,5,615,87,0.698,0.4748,0.2478,0.1911,0.1415
750,Logistic,Structured+Text,5,615,87,0.6975,0.493,0.2523,0.19,0.1415
750,RandomForest,Structured,5,615,87,0.6778,0.7582,0.1644,0.1661,0.1415
750,RandomForest,Structured+Text,5,615,87,0.6831,0.5215,0.2239,0.1846,0.1415
750,XGBoost,Structured,5,615,87,0.7045,0.4498,0.2658,0.1883,0.1415
750,XGBoost,Structured+Text,5,615,87,0.6947,0.4487,0.3005,0.1968,0.1415
770,Logistic,Structured,3,289,38,0.6602,0.4607,0.2996,0.2099,0.1315
770,Logistic,Structured+Text,3,289,38,0.667,0.4239,0.3124,0.2085,0.1315
770,RandomForest,Structured,3,289,38,0.6713,0.5308,0.1801,0.1769,0.1315
770,RandomForest,Structured+Text,3,289,38,0.6879,0.4496,0.2635,0.1965,0.1315
770,XGBoost,Structured,3,289,38,0.6884,0.4017,0.3298,0.2062,0.1315
770,XGBoost,Structured+Text,3,289,38,0.6766,0.4017,0.3644,0.2151,0.1315
773,Logistic,Structured,1,80,13,0.7268,0.3846,0.2388,0.1933,0.1625
773,Logistic,Structured+Text,1,80,13,0.7302,0.4615,0.2537,0.1926,0.1625
773,RandomForest,Structured,1,80,13,0.7279,0.5385,0.1642,0.1673,0.1625
773,RandomForest,Structured+Text,1,80,13,0.7245,0.5385,0.2687,0.1837,0.1625
773,XGBoost,Structured,1,80,13,0.721,0.3846,0.3134,0.1945,0.1625
773,XGBoost,Structured+Text,1,80,13,0.7336,0.3846,0.3134,0.1974,0.1625
80,Logistic,Structured,1,89,11,0.6166,0.3636,0.5,0.2597,0.1236
80,Logistic,Structured+Text,1,89,11,0.6294,0.2727,0.4872,0.2618,0.1236
80,RandomForest,Structured,1,89,11,0.6166,0.6364,0.1795,0.1854,0.1236
80,RandomForest,Structured+Text,1,89,11,0.6166,0.5455,0.2308,0.2014,0.1236
80,XGBoost,Structured,1,89,11,0.5862,0.3636,0.4231,0.2539,0.1236
80,XGBoost,Structured+Text,1,89,11,0.6154,0.3636,0.4359,0.2475,0.1236
891,Logistic,Structured,3,285,65,0.6771,0.2646,0.5301,0.2624,0.2281
891,Logistic,Structured+Text,3,285,65,0.678,0.278,0.5346,0.2614,0.2281
891,RandomForest,Structured,3,285,65,0.6756,0.5367,0.2243,0.1921,0.2281
891,RandomForest,Structured+Text,3,285,65,0.6781,0.4675,0.2728,0.2045,0.2281
891,XGBoost,Structured,3,285,65,0.6702,0.2938,0.436,0.2399,0.2281
891,XGBoost,Structured+Text,3,285,65,0.673,0.3448,0.4374,0.2362,0.2281
900,Logistic,Structured,4,435,66,0.7002,0.3547,0.3562,0.2235,0.1517
900,Logistic,Structured+Text,4,435,66,0.7026,0.3221,0.3506,0.2199,0.1517
900,RandomForest,Structured,4,435,66,0.6902,0.6526,0.1926,0.1758,0.1517
